line_no,station_no,station_id,distance_m,x_m,y_m,coordinate_source
380,4120,450407836,0.000000,343098.9,5098348.3,measured
380,4160,450408067,39.356067,343077.0,5098381.0,measured
380,4200,450407402,79.852980,343055.0,5098415.0,measured
380,4240,450407325,119.221623,343034.0,5098448.3,measured
380,4280,450407762,159.742482,343011.5,5098482.0,measured
380,4320,450407661,199.740606,342989.8,5098515.6,measured
380,4360,450407820,239.600486,342968.2,5098549.1,measured
380,4400,450408063,279.544447,342946.6,5098582.7,measured
380,4440,450406791,319.626612,342924.9,5098616.4,measured
380,4480,450407211,359.624737,342903.2,5098650.0,measured
380,4520,450406594,399.122206,342882.6,5098683.7,measured
380,4560,450406896,439.393908,342860.1,5098717.1,measured
380,4600,450407067,479.639280,342838.1,5098750.8,measured
380,4640,450406079,519.553438,342816.4,5098784.3,measured
380,4680,450407959,559.719718,342794.7,5098818.1,measured
380,4720,450407105,599.579597,342773.1,5098851.6,measured
380,4760,450407147,639.619733,342751.4,5098885.2,interpolated
380,4800,450407188,679.659869,342729.7,5098918.9,measured
380,4840,450406836,720.493189,342707.7,5098953.3,measured
380,4880,450404627,759.854337,342686.4,5098986.4,measured
380,4920,450407918,799.961319,342664.5,5099020.0,measured
380,4960,450407958,840.181712,342642.7,5099053.8,measured
380,5000,450407878,879.804433,342621.7,5099087.4,measured
380,5040,450407684,920.561518,342598.2,5099120.7,measured
380,5080,450408173,961.240997,342577.3,5099155.6,measured
380,5120,450406924,999.639565,342557.5,5099188.5,measured
380,5160,450407300,1041.338606,342533.5,5099222.6,measured
380,5200,450407785,1081.481600,342512.0,5099256.5,measured
380,5240,450401922,1120.872970,342490.8,5099289.7,measured
380,5280,450400622,1162.086681,342469.2,5099324.8,measured
380,5320,450406576,1199.838105,342447.8,5099355.9,measured
380,5360,450406394,1241.292176,342423.8,5099389.7,measured
380,5400,450407370,1280.136609,342403.8,5099423.0,measured
380,5440,450400922,1318.776097,342383.7,5099456.0,measured
